Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
-16774	-1178	1624	-1410	33	25	-775	223	-517	0	0	0	71836590
-16764	-1224	1738	-1466	-84	-79	-774	224	-514	1	50	1	71836661
-16776	-1246	1612	-1481	229	-232	-783	217	-519	2	100	2	71836716
-16692	-1192	1556	-1636	-136	-130	-777	223	-521	3	150	3	71836765
-16610	-1186	1676	-1429	442	-8	-778	222	-514	4	198	4	71836769
-17422	-1094	2128	-1420	-355	-57	-777	223	-517	5	248	5	71836821
-15942	-1188	1656	-1411	319	-60	-770	218	-518	6	298	6	71836873
-17190	-1144	1864	-1564	-40	53	-776	218	-516	7	348	7	71836953
-16730	-1386	1712	-1555	163	67	-768	216	-514	8	398	8	71837001
-16724	-1274	1764	-1702	332	-23	-775	221	-513	9	446	9	71837027
-16952	-1496	1888	-2172	192	-84	-774	224	-516	10	496	10	71837105
-16410	-1476	1698	-2069	476	-156	-780	224	-518	11	546	11	71837128
-17012	-1326	1728	-2603	259	-125	-778	220	-518	12	596	12	71837159
-16856	-1088	1910	-2559	468	-85	-780	220	-516	13	646	13	71837230
-16508	-1434	1558	-2265	750	-154	-776	220	-514	14	695	14	71837314
-16932	-1210	1668	-2856	508	-113	-782	220	-516	15	744	15	71837336
-16738	-1138	1762	-2751	434	-224	-783	221	-519	16	794	16	71837364
-16764	-1326	1470	-2539	312	-128	-778	220	-514	17	844	17	71837442
-16778	-1120	1678	-2648	360	-155	-781	219	-519	18	894	18	71837521
-16864	-1364	1560	-2404	497	-118	-776	218	-518	19	943	19	71837547
-16782	-1150	1576	-2539	515	-101	-777	221	-517	20	992	20	71837575
-16716	-1286	1476	-2397	580	-161	-774	222	-518	21	1042	21	71837625
-16798	-1322	1332	-2444	622	-75	-786	218	-520	22	1092	22	71837654
-16670	-1134	1450	-2288	533	-175	-780	218	-516	23	1142	23	71837731
-16900	-1232	1490	-2210	429	-172	-780	218	-522	24	1191	24	71837782
-16614	-1302	1474	-2026	551	-169	-779	223	-515	25	1240	25	71837810
-16934	-1298	1242	-2124	286	-201	-774	218	-522	26	1290	26	71837916
-16608	-1154	1356	-2020	492	-115	-774	220	-522	27	1340	27	71837958
-16848	-1292	1370	-1665	406	-203	-781	215	-515	28	1390	28	71837999
-16646	-1352	1472	-2091	460	-125	-781	223	-517	29	1439	29	71838037
-16868	-1046	1504	-1370	301	-316	-779	217	-523	30	1488	30	71838076
-16724	-1308	1174	-771	494	-232	-780	218	-516	31	1538	31	71838140
-16660	-584	1118	-484	569	-167	-778	222	-522	32	1588	32	71838191
-17044	-890	1526	527	101	-323	-779	221	-519	33	1637	33	71838216
-16420	-434	1320	1320	572	160	-777	217	-523	34	1687	34	71838244
-16838	-648	2032	3030	-8	177	-776	222	-514	35	1737	35	71838325
-17014	-614	1684	3983	536	445	-775	221	-513	36	1786	36	71838375
-16632	-626	1828	5473	250	835	-770	220	-510	37	1836	37	71838426
-16854	-264	1650	6808	361	731	-773	219	-509	38	1885	38	71838500
-16774	-418	2024	7803	360	622	-773	221	-507	39	1935	39	71838531
-16602	-708	2010	8569	-11	605	-768	220	-500	40	1985	40	71838552
-16944	-534	2540	9037	-428	394	-776	224	-498	41	2034	41	71838605
-16756	-234	2090	8660	223	363	-769	221	-495	42	2084	42	71838656
-16926	-834	2344	8896	153	329	-762	232	-484	43	2134	43	71838736
-16776	-824	2042	8025	204	335	-765	225	-481	44	2183	44	71838760
-16750	-874	1780	7159	163	213	-762	228	-482	45	2233	45	71838790
-16696	-1008	2048	6079	-273	295	-762	228	-480	46	2282	46	71838864
-16864	-440	1864	4194	-213	235	-762	228	-472	47	2332	47	71838919
-16590	-456	2206	3281	-518	21	-761	225	-467	48	2382	48	71838971
-16988	-802	2062	2155	-914	375	-765	227	-467	49	2431	49	71839046
-16700	-436	2298	1137	-646	137	-765	227	-467	50	2481	50	71839100
-16520	320	2154	43	-345	38	-764	226	-464	51	2530	51	71839153
-17398	-180	2556	-430	-635	29	-766	232	-460	52	2580	52	71839203
-16276	368	2220	-264	243	137	-764	230	-460	53	2630	53	71839255
-16776	132	2602	-512	190	-111	-764	224	-458	54	2679	54	71839309
-16920	422	2060	-355	534	60	-769	235	-459	55	2729	55	71839355
-16882	-452	2598	-620	1394	56	-768	234	-460	56	2779	56	71839386
-16684	-226	2368	-1224	704	-68	-766	228	-460	57	2828	57	71839407
-16850	232	1992	-2398	1011	-256	-764	224	-456	58	2878	58	71839460
-17206	-454	2548	-3187	756	-418	-769	231	-461	59	2927	59	71839536
-16634	-202	1896	-3878	1238	-388	-766	230	-458	60	2977	60	71839566
-16672	-484	2106	-5805	1689	-585	-765	235	-455	61	3027	61	71839617
-17128	-548	2250	-7313	704	-175	-766	228	-462	62	3076	62	71839669
-16246	-702	2114	-8706	1239	-142	-765	231	-471	63	3126	63	71839724
-17062	-810	2210	-10564	851	-287	-766	232	-468	64	3175	64	71839770
-16414	-420	2278	-11290	1326	-175	-768	226	-472	65	3225	65	71839802
-16990	-606	1880	-12463	1024	-514	-766	228	-480	66	3275	66	71839906
-16556	-340	2262	-13171	1200	-363	-772	226	-482	67	3324	67	71839930
-16156	126	1550	-13412	934	-624	-768	228	-490	68	3374	68	71839959
-17472	-414	2012	-13964	293	-878	-763	227	-495	69	3423	69	71840007
-16528	-184	1592	-13555	332	-288	-762	222	-500	70	3473	70	71840059
-16808	170	1642	-13520	420	-867	-764	222	-498	71	3523	71	71840117
-16798	-738	1262	-13025	43	-426	-772	224	-500	72	3572	72	71840164
-16966	180	1956	-13331	-310	-346	-773	225	-513	73	3622	73	71840190
-16596	460	1378	-11938	88	-536	-776	220	-516	74	3671	74	71840243
-17140	110	1484	-11165	-2	-457	-780	218	-516	75	3721	75	71840346
-16506	228	1466	-9698	318	-530	-785	225	-519	76	3771	76	71840374
-16834	-306	1440	-8105	-435	-774	-785	219	-525	77	3821	77	71840403
-17100	-696	1650	-6902	-1201	-839	-793	217	-527	78	3870	78	71840449
-16680	-364	1460	-5508	-377	-416	-785	221	-521	79	3919	79	71840503
-16894	-294	1860	-3935	-380	-593	-790	222	-524	80	3969	80	71840554
-16926	-1068	1612	-3058	-387	-545	-791	225	-529	81	4019	81	71840602
-16654	-952	1616	-2401	-63	-297	-788	218	-530	82	4069	82	71840629
-16850	-666	1858	-2637	-65	-436	-786	220	-522	83	4118	83	71840707
-16868	-1004	1752	-2143	63	-288	-790	214	-522	84	4167	84	71840759
-16808	-662	2252	-1825	60	-154	-793	223	-523	85	4217	85	71840789
-16754	-54	1600	-1443	372	-7	-785	225	-521	86	4267	86	71840864
-16684	-686	1600	-196	692	77	-788	218	-528	87	4317	87	71840916
-16862	-296	1918	496	475	-57	-793	217	-529	88	4366	88	71840970
-17028	-268	1464	1541	834	-171	-793	217	-517	89	4415	89	71841017
-16588	-154	2042	2728	795	55	-781	221	-529	90	4465	90	71841045
-16936	428	1568	3768	684	134	-787	217	-525	91	4515	91	71841074
-16724	-54	2468	5929	368	195	-784	220	-518	92	4565	92	71841147
-16320	-276	1692	7526	1130	342	-778	222	-516	93	4614	93	71841177
-17522	-22	2052	8185	1238	76	-777	217	-509	94	4664	94	71841251
-16308	-178	1652	9466	1777	267	-778	218	-518	95	4713	95	71841306
-17014	-340	2066	10293	963	293	-773	219	-509	96	4763	96	71841354
-17076	-28	2000	10776	902	655	-768	224	-500	97	4813	97	71841385
-16456	84	1806	11000	1013	536	-764	218	-494	98	4862	98	71841459
-16250	-692	1958	11602	973	521	-761	223	-495	99	4912	99	71841536
-17444	26	1942	10507	-301	355	-765	227	-489	100	4961	100	71841562
-16120	-564	1742	10222	328	378	-763	225	-479	101	5011	101	71841615
-17396	-1110	1258	9547	-603	298	-762	226	-478	102	5061	102	71841640
-16866	-988	1906	8017	-233	250	-767	229	-475	103	5111	103	71841720
-16836	-692	1610	6381	-161	102	-762	224	-468	104	5160	104	71841765
-16704	-684	1610	5553	64	78	-764	230	-468	105	5209	105	71841797
-16618	-548	1686	3905	-123	89	-764	224	-460	106	5259	106	71841846
-17116	-634	1552	3168	-161	-212	-764	228	-464	107	5309	107	71841915
