AccXVar	AccYVar	AccZVar	GyroXVar	GyroYVar	GyroZVar	AvgAccVar	AvgGyroVar	rmsSDAccX	rmsSDAccY	rmsSDAccZ	rmsSDGyroX	rmsSDGyroY	rmsSDGyroZ	rmsSDAvgAcc	rmsSDAvgGyro	meanSDAccX	meanSDAccY	meanSDAccZ	meanSDGyroX	meanSDGyroY	meanSDGyroZ	meanSDAvgAcc	meanSDAvgGyro	seAccX	seAccY	seAccZ	seGyroX	seGyroY	seGyroZ	seAvgAcc	seAvgGyro	ccAccXY	ccAccXYInd	ccAccXZ	ccAccXZInd	ccAccYZ	ccAccYZInd	ccGyroXY	ccGyroXYInd	ccGyroXZ	ccGyroXZInd	ccGyroYZ	ccGyroYZInd	ccAvgAcc	ccAvgAccInd	ccAvgGyro	ccAvgGyroInd	sigRanAccX	sigRanAccY	sigRanAccZ	sigRanGyroX	sigRanGyroY	sigRanGyroZ	sigRanAvgAcc	sigRanAvgGyro	energyAccX	energyAccY	energyAccZ	energyGyroX	energyGyroY	energyGyroZ	energyAvgAcc	energyAvgGyro	skewAccX	skewAccY	skewAccZ	skewGyroX	skewGyroY	skewGyroZ	skewAvgAcc	skewAvgGyro	trialNum	subjectNum	movementNum	nodeNumber	
373410.8625	732884.2759	589060.9773	2470297.5332	1156033.8994	239139.1135	565118.7052	1288490.1821	24217.7829	44170.1348	25700.7409	59256.8659	30974.3328	13011.9448	31362.8862	34414.3812	1555.5556	-951.5152	-2038.3838	149.4949	3107.0707	597.9798	-478.1145	1284.8485	0	0	0	0.90438	0.9765	0.88129	0	0.92072	0.97834	100	0.99805	100	0.9801	100	0.80983	144	0.6218	103	0.88036	62	0.9855	100	0.77066	103	2646	3784	3004	2646	3784	3004	3144.6667	3144.6667	11881350133	1475529953	19409770027	254856495	146385678	31670094	10922216704.3333	144304089	-0.58606	-0.1794	0.48976	-0.72498	0.6384	0.1787	-0.091902	0.030707	m0008	s05	m13	n05
106910.4339	752491.1451	530528.149	1559467.9782	643987.1769	938815.7854	463309.9093	1047423.6468	28655.5652	28996.9765	24889.5743	39705.8172	27935.0473	14997.5486	27514.0387	27546.1377	535.3535	-3723.2323	-3252.5253	7963.6364	-408.0808	-3686.8687	-2146.8013	1289.5623	0	0	0	0.52936	0.76017	1	0	0.76318	0.97478	100	0.99789	100	0.98532	100	0.86528	78	0.5633	12	0.46345	163	0.986	100	0.63068	84.3333	1336	3633	2733	1336	3633	2733	2567.3333	2567.3333	10711493536	1797510308	20099259269	403698798	139282997	96242435	10869421037.6667	213074743.3333	-0.57426	0.56578	1.3202	-0.83239	-0.25129	-0.35294	0.43723	-0.47887	m0008	s05	m13	n05
263279.4524	657623.3188	132531.7062	355932.0743	533609.4645	248897.1915	351144.8258	379479.5768	28383.9334	27201.9384	27391.0698	32694.8672	26940.2706	15067.1762	27658.9806	24900.7713	1995.9596	-5553.5354	1240.404	868.6869	-1141.4141	-2448.4848	-772.3906	-907.0707	0	0	0	0	0.60984	0	0	0.20328	0.98211	100	0.99925	100	0.9873	100	0.97428	134	-0.003654	199	0.067083	190	0.98955	100	0.3459	174.3333	1822	3098	1583	1822	3098	1583	2167.6667	2167.6667	9426123391	2847540610	20296662491	511821104	142695841	138485454	10856775497.3333	264334133	0.025042	-0.3707	0.23014	0.81793	-0.25022	0.5132	-0.038506	0.3603	m0008	s05	m13	n05
150401.9612	507736.8933	91713.1349	725477.3716	326081.4541	178467.1591	249950.6632	410008.6616	18524.9163	20488.5087	24365.0851	21611.6598	20161.1788	9273.9453	21126.1701	17015.5946	1975.7576	-4252.5253	-561.6162	-3246.4646	-4692.9293	2927.2727	-946.1279	-1670.7071	0	0	0	0.36592	0.98959	0	0	0.45184	0.98999	100	0.99937	100	0.99381	100	0.70996	183	-0.028146	1	0.55078	184	0.99439	100	0.41087	122.6667	1524	2668	1209	1524	2668	1209	1800.3333	1800.3333	8070454902	3953591500	19481663354	235306613	33448032	89316009	10501903252	119356884.6667	0.25754	0.9155	-0.019517	-0.151	0.35613	0.095341	0.38451	0.10016	m0008	s05	m13	n05
71675.9721	85660.6642	70804.2395	239328.8359	194452.0206	96926.8521	76046.9586	176902.5695	14202.0343	14772.5106	19337.5544	17260.2188	12241.6741	6211.0036	16104.0331	11904.2988	1111.1111	-1402.0202	270.7071	-1967.6768	-969.697	2006.0606	-6.734	-310.4377	0	0	0	0.81128	0.74148	0	0	0.51759	0.99815	100	0.99977	100	0.99891	100	0.30937	183	-0.012419	158	0.9042	173	0.99894	100	0.40039	171.3333	1056	1064	1173	1056	1064	1173	1097.6667	1097.6667	7710212424	4712629540	19576865219	35758757	32077176	22239472	10666569061	30025135	-0.14223	0.70853	0.13261	0.73454	0.87193	-1.3715	0.23297	0.078309	m0008	s05	m13	n05
12265.1115	36177.5115	48384.1471	149423.6504	44495.6933	30172.9264	32275.59	74697.4234	9954.604	11422.3775	16309.7294	13737.8927	7573.0783	3983.3999	12562.237	8431.457	210.101	-846.4646	783.8384	-537.3737	329.2929	880.8081	49.1582	224.2424	0	0	0	0.68008	0	0.77801	0	0.48603	0.99933	100	0.99986	100	0.99942	100	0.14081	35	0.37096	72	0.7051	141	0.99953	100	0.40562	82.6667	444	834	1082	444	834	1082	786.6667	786.6667	7678723984	5084334438	19417304540	28766333	24920538	3838495	10726787654	19175122	-0.34093	0.37709	-0.17722	0.026279	-0.43993	0.64883	-0.047019	0.078393	m0008	s05	m13	n05
14518.6136	28528.0145	48943.899	219723.5332	282612.9975	150257.088	30663.5091	217531.2062	8908.0375	10220.1623	12740.994	10901.8393	7878.5734	5237.6261	10623.0646	8006.013	-777.7778	-1062.6263	230.303	-2222.2222	-1692.9293	2408.0808	-536.7003	-502.3569	0	0	0	0.93407	0	0.84146	0	0.59184	0.99967	100	0.99971	100	0.99966	100	0.19434	134	0.87642	23	0.23505	179	0.99968	100	0.43527	112	541	869	885	541	869	885	765	765	7692815043	5307266232	18749193546	27083649	91077879	21014449	10583091607	46391992.3333	-0.53348	-0.00085383	-0.17205	0.16972	-0.32445	0.61489	-0.23546	0.15339	m0008	s05	m13	n05
91316.6061	35431.2092	39550.964	76668.5191	73950.3337	143030.6428	55432.9264	97883.1652	9370.5535	10439.2035	11530.1449	9697.4015	7190.1167	5899.8374	10446.634	7595.7852	-1763.6364	969.697	1096.9697	-472.7273	-787.8788	-735.3535	101.0101	-665.3199	0	0	0	0.60984	0	0.6577	0	0.42252	0.9989	100	0.99917	100	0.99988	100	0.86607	114	0.18114	39	0.10025	13	0.99932	100	0.38249	55.3333	956	864	980	956	864	980	933.3333	933.3333	8328304444	5329923803	18302321312	15873643	135381992	30974954	10653516519.6667	60743529.6667	-0.011922	0.44022	-0.57554	-0.34174	-0.52708	0.11186	-0.049083	-0.25232	m0008	s05	m13	n05
191629.2448	159704.389	116188.1923	252212.3333	501096.3898	269505.8812	155840.6087	340938.2014	11475.173	19251.8555	16431.9841	19584.9251	15904.3733	8921.1586	15719.6709	14803.4857	-3270.7071	1436.3636	1812.1212	-3240.404	-1505.0505	262.6263	-7.4074	-1494.2761	0	0	0	0.49992	0	0.70147	0	0.40046	0.99689	100	0.99841	100	0.99897	100	0.77219	46	0.012116	150	-0.11568	199	0.99809	100	0.22288	131.6667	1619	1720	1336	1619	1720	1336	1558.3333	1558.3333	9396453334	4993917537	17521778768	45626046	316509379	60931668	10637383213	141022364.3333	-0.79809	0.769	0.28364	-1.1993	-0.40902	0.078983	0.084849	-0.50978	m0008	s05	m13	n05
256374.9653	467192.2233	78985.6279	1083769.9394	468083.8056	185006.6799	267517.6055	578953.4749	15671.4886	25391.1859	21287.593	31354.2097	22432.39	12264.1466	20783.4225	22016.9154	-3327.2727	3149.4949	-753.5354	-2139.3939	1159.596	2709.0909	-310.4377	576.431	0	0	0	0.49992	0	0.14144	0	0.21379	0.9915	100	0.99902	100	0.99406	100	0.89296	130	0.0078988	199	0.0081758	198	0.99486	100	0.30301	175.6667	1933	2805	1105	1933	2805	1105	1947.6667	1947.6667	10707389096	4237092357	17029666414	249809068	356751839	118541789	10658049289	241700898.6667	0.75114	0.51871	-0.30469	-0.37097	0.22914	-0.47443	0.32172	-0.20542	m0008	s05	m13	n05
